cd_rgi,nm_rgi,vab_agriculture_brl,vab_industry_brl,vab_services_brl,vab_public_brl,vab_total_brl,population,gdp_per_capita_brl,centroid_lat,centroid_lng
3532,Ourinhos,380000000,2900000000,7200000000,920000000,11400000000,114114,99916.12,-22.9788889,-49.8708333
3533,Bauru,650000000,7800000000,24000000000,2550000000,35000000000,379297,92274.71,-22.3147222,-49.0605556
3534,Jaú,420000000,3100000000,7400000000,880000000,11800000000,147797,79837.51,-22.2963889,-48.5577778
3535,Lins,280000000,1800000000,4200000000,620000000,6900000000,78270,88153.94,-21.6780556,-49.7436111
3536,Botucatu,480000000,3800000000,11200000000,1420000000,16900000000,148922,113502.58,-22.8852778,-48.4452778
3537,Avaré,320000000,2100000000,5400000000,780000000,8600000000,90773,94741.58,-23.0988889,-48.9252778
3538,Itapetininga,420000000,3500000000,8800000000,1080000000,13800000000,164602,83863.70,-23.5916667,-48.0530556
3539,Tatuí,380000000,2900000000,7200000000,920000000,11400000000,120547,94574.16,-23.3552778,-47.8563889
3540,Sorocaba,850000000,18500000000,52000000000,5150000000,76500000000,687357,111311.72,-23.5016667,-47.4586111
3541,Jundiaí,620000000,12500000000,32000000000,3380000000,48500000000,423006,114681.82,-23.1863889,-46.8980556
3542,Bragança Paulista,420000000,4200000000,10800000000,1280000000,16700000000,168159,99326.04,-22.9530556,-46.5427778
3543,São João da Boa Vista,380000000,2800000000,6800000000,920000000,10900000000,91493,119134.79,-21.9705556,-46.7977778
3544,Mogi Mirim,420000000,3500000000,8200000000,980000000,13100000000,95099,137761.03,-22.4316667,-46.9577778
3545,São Joaquim da Barra,220000000,1400000000,2900000000,480000000,5000000000,50478,99063.99,-20.5811111,-47.8569444
3546,Itapeva,280000000,1800000000,4200000000,620000000,6900000000,95959,71904.85,-23.9791667,-48.8758333
3547,Capão Bonito,180000000,980000000,2400000000,380000000,3940000000,48035,82020.39,-23.9594444,-48.3491667
3548,Registro,220000000,1500000000,4200000000,580000000,6500000000,56553,114947.89,-24.4880556,-47.8430556
3549,Caraguatatuba,180000000,2100000000,7800000000,820000000,10900000000,120204,90687.68,-23.6202778,-45.4133333
3550,São Sebastião,95000000,1400000000,6200000000,605000000,8300000000,89013,93237.64,-23.8002778,-45.4083333
3551,Ubatuba,120000000,1200000000,5800000000,680000000,7800000000,92819,84027.93,-23.4336111,-45.0711111
3552,Taubaté,420000000,6500000000,19500000000,2080000000,28500000000,314924,90493.66,-23.0263889,-45.5552778
3553,Guaratinguetá,320000000,3200000000,8800000000,1080000000,13400000000,119228,112407.11,-22.8163889,-45.1927778
