Setor,Código,Resíduo,FC,FC Justificativa,FCp,FCp Justificativa,FS,FS Justificativa,FL,FL Justificativa,FDE (%),Classificação,Confiança,BMP (m³/kg SV),Potencial SP Anual,Fonte Validação,Observação Crítica
AGRICULTURA,AG_CANA_TORTA_FILTRO,Torta de Filtro (cana),0.95,95% gerado centralizado em filtros,0.67,UNICA: 67% fertilização → 33% disponível excedente,0.9,Safra cana: Abril-Novembro,0.9,Co-localizado; <15km viável,25.39,🟢 MUITO BOM (25-39%),HIGH,0.28,~4M ton/ano,UNICA 2024 validado,Excedente validado UNICA; co-digestão com vinhaça otimiza
AGRICULTURA,AG_CANA_VINHACA,Vinhaça (caldo destilação etanol),0.95,95% gerado em destilarias,0.85,🚨 CETESB P4.231 fertirrigação obrigatória 85% → 15% excedente,0.9,Safra cana: Abril-Novembro,0.9,Co-localizado; pipeline on-site,11.54,🟡 RAZOÁVEL (10-14%),HIGH,0.35,~10M m³/ano,CETESB P4.231/2015,🚨 CETESB P4.231 fertirrigação mandatória 85%
AGRICULTURA,AG_MILHO_PALHA,Palha de Milho,0.7,70% recuperável campo; colheita mecânica,0.85,85% PD exige cobertura 3-5t/ha → 15% disponível,0.85,Safra milho: Fevereiro-Maio; 85%,0.6,Disperso região; 50-100km; marginal,5.36,🟠 REGULAR (5-9%),LOW,0.25,~100k ton/ano,EMBRAPA Cerrados,Plantio direto 70% SP; competição silagem
AGRICULTURA,AG_SOJA_PALHA,Palha de Soja,0.6,60% recuperável; soja baixa palha 2-3t/ha,1.0,🚨 CRÍTICO: 100% PD; certificação exige cobertura → 0% disponível,0.8,Safra soja: Janeiro-Fevereiro; 80%,0.6,Disperso; 60-100km inviável,0.0,⚫ INVIÁVEL (0%),HIGH,0.22,ZERO (inviável),"EMBRAPA Soja, certificações",🚨 FDE=0% INVIÁVEL: 85% SP em PD; certificação exige cobertura
AGRICULTURA,AG_CITROS_BAGACO,Bagaço de Citros,0.85,85% processamento suco concentrado,0.7,🚨 REGIONAL: Bebedouro (Cargill) varia geograficamente,0.9,Safra citros: Abril-Dezembro; 90%,0.75,Cinturão citros; 30-40km,17.21,🟡 BOM (15-24%),MEDIUM,0.28,~300k ton/ano (*),"CitrusBR, Cargill",🚨 REGIONALIZADO: Bebedouro 2-3%
AGRICULTURA,AG_CITROS_CASCAS,Cascas de Citros,0.8,80% descascamento/processamento,0.7,Similar bagaço citros - competição pectina regional,0.9,Safra citros: Abril-Dezembro; 90%,0.75,Cinturão citros; 30-40km,16.2,🟡 BOM (15-24%),MEDIUM,0.25,~250k ton/ano (*),"CitrusBR, processadoras",Competição pectina similar bagaço; regional
AGRICULTURA,AG_CITROS_POLPA,Polpa de Citros (resíduo seco),0.75,75% secagem polpa,0.75,75% vai ração animal (produto comercial) → 25% disponível,0.9,Safra citros; 90%,0.7,Polpa transportável; 40-60km,11.81,🟡 RAZOÁVEL (10-14%),MEDIUM,0.2,~150k ton/ano,"IEA-SP, indústria",Produto comercial (R$ 150-200/ton) compete
AGRICULTURA,AG_CAFE_POLPA,Polpa de Café,0.8,80% beneficiamento via úmida,0.6,60% compostagem cafezais + ração → 40% disponível,0.85,Safra café: Junho-Setembro; 85%,0.7,Região cafeeira; 40-60km,19.04,🟡 BOM (15-24%),MEDIUM,0.32,~200k ton/ano,"IEA-SP 2023, EMBRAPA",Via úmida domina arábica; focar grandes benefícios
AGRICULTURA,AG_CAFE_CASCA,Casca de Café,0.7,70% beneficiamento,0.5,50% combustível fornalhas + compostagem → 50% disponível,0.85,Safra café: Junho-Setembro; 85%,0.65,Disperso região; 60-80km,19.34,🟡 BOM (15-24%),MEDIUM,0.25,~100k ton/ano,"IEA-SP, benefícios",Casca queimada; compete energia térmica
AGRICULTURA,AG_CAFE_MUCILAGEM,Mucilagem de Café,0.85,85% despolpamento via úmida,0.55,55% compostagem + fermentação → 45% disponível,0.8,Safra café via úmida; 80%,0.7,Benefícios via úmida; 45-65km,21.42,🟡 BOM (15-24%),MEDIUM,0.35,~120k ton/ano,"EMBRAPA Café, IEA-SP",Apenas 30% café SP via úmida; potencial regional
INDÚSTRIA,IND_BAGACO_MALTE,Bagaço de Malte,0.85,85% coletável em cervejarias,0.7,Compete ração animal; 70% competição,0.95,Produção contínua; 95% ano,0.75,Cervejarias concentradas; 20-30km,18.09,🟡 BOM (15-24%),MEDIUM,0.28,~50k ton/ano,"ABCERVA, literatura",Competição ração forte (R$ 80-120/ton)
INDÚSTRIA,IND_TRUB_CERVEJA,Trub (cervejaria),0.8,80% coletável processos cervejaria,0.75,Compete uso industrial; 75% competição,0.95,Geração contínua; 95% ano,0.7,Cervejarias; 25km média,13.3,🟡 RAZOÁVEL (10-14%),MEDIUM,0.2,~15k ton/ano,"ABCERVA, processadoras",Quantidade menor; heterogeneidade alta
INDÚSTRIA,IND_SORO_LATICINIOS,Soro de Laticínios,0.75,75% coletável em laticínios,0.6,EMBRAPA: 60% ração animal → 40% disponível,0.95,Geração contínua; 95% ano,0.65,Laticínios dispersos; 50-80km (transporte líquido),17.81,🟡 BOM (15-24%),MEDIUM,0.38,~80k ton/ano,"EMBRAPA, ABIPLAC","Alto BMP (0,38) mas logística cara"
INDÚSTRIA,IND_RESIDUO_ABATEDOURO,Resíduos Abatedouro,0.7,70% coletável (separação resíduos),0.5,Compete fertilizante/ração; 50% competição,0.95,Geração contínua; 95% ano,0.7,Frigoríficos polos; 25-35km,23.33,🟡 BOM (15-24%),MEDIUM,0.3,~40k ton/ano,Frigorífico associações,Heterogeneidade elevada; restrições MAPA
INDÚSTRIA,IND_VISCERAS_NAO_COMESTIVEIS,Vísceras Não Comestíveis,0.75,75% coletável separação,0.55,Compete farinha animal (MAPA); 55% competição,0.95,Geração contínua; 95% ano,0.75,Frigoríficos polos regionais; viável,24.05,🟡 BOM (15-24%),MEDIUM,0.35,~50k ton/ano,"MAPA, frigoríficos",Regulações MAPA restritas; farinha prioritária
INDÚSTRIA,IND_RESIDUO_PROCESSAMENTO_VEGETAL,Resíduos Processamento Vegetal,0.6,60% coletável; variável por tipo,0.7,Compete compostagem/ração; 70% competição,0.8,Processamento continuo; variação ~20%,0.6,Disperso região; transporte caro,8.64,🟠 REGULAR (5-9%),LOW,0.22,~150k ton/ano,"Literatura, indústria",Cadeias valor não mapeadas; heterogeneidade
INDÚSTRIA,IND_CASCA_EUCALIPTO,Casca de Eucalipto (florestal),0.7,70% coletável em processamento madeira,0.5,Compete energia térmica/celulose; 50% competição,0.85,Processamento continuo; variação ~15%,0.5,🚨 Baixa densidade (150-200 kg/m³); 50km+ inviável,14.88,🟡 RAZOÁVEL (10-14%),LOW,0.2,~200k ton/ano,"IEA Bioenergy, indústria",🚨 Baixa densidade; densificação necessária
